store_id,big_mac_price
100,6.0
1000,5.5
1001,5.4
1002,5.6
1003,5.9
1004,5.7
1005,5.8
1006,5.2
1007,5.7
1008,5.5
1009,5.8
101,5.6
1010,5.5
1011,5.8
1012,5.35
1013,5.5
1014,5.1
1015,5.7
1016,5.35
1017,5.8
102,5.4
1020,5.6
1021,5.3
1022,5.5
1023,5.0
1024,6.0
1025,5.9
1026,5.6
1028,5.6
1029,5.6
103,4.95
1030,5.7
1031,5.45
1032,6.1
1033,5.4
1034,4.9
1035,5.9
1036,5.4
1037,5.6
1038,5.55
1039,5.4
104,5.4
1041,5.7
1042,5.3
1043,5.8
1044,5.5
1046,5.7
1047,4.95
1048,5.95
1049,5.7
105,5.3
1050,5.5
1051,5.7
1052,5.4
1053,5.8
1054,5.9
1055,5.35
1056,4.9
1057,5.7
1058,5.6
1059,5.4
106,5.7
1060,5.2
1061,6.0
1062,5.5
1063,6.2
1064,6.1
1065,5.3
1066,5.65
1067,5.4
1068,5.5
1069,5.5
107,5.5
1070,5.5
1071,6.0
1072,5.2
1073,5.7
1074,5.6
1075,5.5
1076,5.5
1077,5.5
1078,5.5
1079,5.9
108,4.9
1080,5.8
1081,5.7
1082,5.7
1083,6.0
1084,5.5
1085,5.65
1086,5.5
1087,5.7
1088,5.6
1089,5.7
109,5.4
1090,5.25
1091,5.9
1092,5.5
1093,5.7
1094,5.4
1095,5.6
1096,5.3
1097,6.0
1098,5.7
1099,5.4
1100,5.7
1101,5.6
1102,5.5
1103,5.6
1104,5.4
1105,5.7
1106,5.6
1107,5.1
1109,5.8
111,5.4
1110,6.0
1111,5.1
1112,5.75
1113,4.95
1114,5.5
1115,5.5
1116,5.5
1117,5.5
1118,5.5
1119,5.6
112,5.9
1120,5.6
1121,6.9
1122,5.75
1123,5.45
1124,6.1
1125,5.3
1126,6.1
1127,6.0
1128,5.7
1129,5.7
113,5.3
1130,5.9
1131,5.6
1132,5.8
1133,5.5
1134,4.9
1135,5.5
1136,5.2
1137,5.6
1139,5.8
114,5.3
1140,6.0
1141,5.5
1142,5.5
1143,5.8
1144,5.6
1145,5.5
1146,5.9
1147,5.7
1148,5.7
1149,5.5
115,5.6
1150,5.7
1151,6.3
1152,5.9
1153,6.1
1154,5.4
1155,6.6
1156,6.0
1157,5.4
1158,6.0
1159,5.7
116,5.8
1160,5.9
1161,5.5
1162,5.5
1163,5.6
1164,5.65
1165,5.8
1166,5.6
1167,5.35
1168,5.7
1169,5.7
117,5.7
1170,5.8
1171,5.7
1172,5.95
1173,6.2
1174,5.6
1175,5.75
1176,5.4
1177,5.8
1178,5.3
1179,5.4
118,5.9
1180,5.8
1181,6.5
1182,5.5
1183,5.6
1184,5.5
1185,5.6
1186,5.4
1187,5.7
1188,5.3
1189,5.7
119,5.45
1191,6.1
1192,5.1
1193,6.2
1194,5.7
1195,6.1
1196,5.5
1197,5.3
1198,5.9
1199,6.1
120,6.9
1200,6.5
1201,5.5
1202,5.4
1203,4.9
1204,5.5
1205,5.5
1206,5.6
1207,5.9
1208,5.8
1209,6.0
121,5.7
1210,5.95
1211,5.8
1212,5.5
1213,5.8
1214,5.5
1215,6.05
1216,5.7
1217,5.6
1218,5.8
1219,5.7
122,5.3
1220,5.6
1221,5.4
1222,5.4
1223,5.5
1224,5.4
1225,5.5
1226,5.4
1227,5.5
1228,5.5
1229,6.05
123,6.1
1230,5.7
1231,6.0
1232,4.95
1233,6.25
1234,5.1
1235,6.0
1236,5.8
1237,5.8
1238,5.95
1239,5.9
124,5.6
1240,5.4
1241,5.9
1242,5.9
1243,5.6
1244,5.7
1245,5.9
1246,5.8
1247,6.0
1248,5.4
125,4.9
1250,6.0
1251,5.55
1252,5.95
1253,5.9
1254,5.8
1256,5.5
1257,5.6
1258,5.8
1259,5.2
126,6.9
1260,5.5
1261,5.75
1262,5.7
1263,5.6
1264,4.9
1265,5.7
1266,5.75
1267,5.7
1268,5.5
1269,5.9
127,5.4
1270,5.8
1271,6.0
1272,5.2
1273,5.6
1274,6.4
1275,5.5
1276,5.7
1277,5.7
1278,5.3
1279,5.4
128,5.5
1280,5.7
1281,5.4
1282,5.3
1284,5.9
1287,4.9
1288,5.2
1289,5.75
129,5.7
1290,5.6
1291,5.5
1292,6.0
1293,5.7
1294,5.6
1295,5.8
1296,5.4
1297,6.0
1298,5.2
1299,5.9
130,5.0
1300,5.5
1301,5.5
1302,5.7
1303,5.6
1304,6.2
1305,5.6
1306,5.95
1307,6.1
1308,5.6
1309,4.9
131,5.5
1310,5.2
1311,5.5
1312,5.9
1313,5.8
1314,6.9
1315,5.4
1316,5.6
1317,5.8
1318,5.7
1319,5.9
1320,5.6
1321,5.35
1322,6.3
1323,5.5
1324,5.8
1325,5.8
1326,5.9
1327,5.1
1328,5.5
1329,5.6
1330,6.4
1331,5.9
1332,5.8
1333,5.3
1334,5.4
1335,5.6
1336,5.95
1337,5.5
1338,5.95
1339,5.5
134,5.45
1340,5.5
1341,5.6
1342,5.6
1343,5.3
1344,5.5
1345,5.6
1346,5.5
1347,5.6
1348,6.0
1349,5.6
1350,5.8
1351,5.5
1352,5.4
1353,5.8
1354,5.5
1355,6.0
1356,5.7
1357,5.6
1358,5.7
1359,5.4
136,5.5
1360,6.2
1361,5.1
1362,5.3
1363,5.5
1364,5.05
1365,5.8
1366,5.9
1367,6.0
1368,5.5
1369,5.3
137,5.4
1370,5.5
1371,5.3
1372,5.6
1373,5.75
1374,5.9
1375,5.8
1376,5.95
1377,5.6
1378,6.0
1379,5.3
1380,5.3
1381,5.7
1382,5.8
1383,5.2
1384,5.4
1385,6.0
1386,5.1
1387,5.5
1388,5.8
1389,5.7
1390,5.5
1391,5.5
1392,5.5
1393,6.2
1394,6.1
1395,6.4
1396,5.8
1397,5.5
1398,6.0
1399,5.6
140,5.5
1400,5.25
1401,5.8
1402,5.3
1403,6.05
1404,6.6
1405,6.0
1406,5.6
1407,5.5
1408,5.8
1409,5.6
141,5.8
1410,5.2
1411,5.5
1412,5.45
1413,5.25
1414,5.4
1415,6.4
1416,5.6
1417,5.9
1418,5.2
1419,5.3
142,5.5
1420,4.95
1421,4.95
1422,6.9
1423,5.5
1424,6.0
1425,5.5
1426,5.9
1428,5.9
1429,5.75
143,5.7
1430,5.6
1431,5.8
1432,5.5
1433,5.8
1434,5.4
1435,5.6
1436,6.0
1437,5.7
1438,5.65
1439,5.4
144,5.6
1440,5.5
1441,5.8
1443,5.5
1444,5.75
1445,5.45
1446,5.3
1447,6.5
1448,5.8
1449,5.5
145,5.4
1450,6.2
1451,5.95
1452,5.6
1453,5.1
1454,5.6
1455,5.25
1456,5.7
1457,5.8
1458,5.7
1459,5.5
146,4.9
1460,5.6
1461,5.9
1462,5.35
1463,5.5
1464,5.7
1465,5.5
1466,5.8
1467,6.05
1468,5.0
1469,6.2
147,5.9
1470,6.2
1472,5.6
1473,5.9
1474,5.45
1475,5.7
1476,6.1
1477,5.1
1478,5.7
1479,5.9
148,5.5
1480,5.5
1481,5.25
1482,5.4
1483,5.5
1484,6.0
1485,5.6
1487,5.5
1488,5.4
1489,5.9
149,5.8
1490,5.5
1491,4.95
1492,5.7
1493,5.7
1494,5.5
1495,5.7
1496,5.6
1497,5.5
1498,5.6
1499,5.6
1500,5.5
1501,5.6
1502,5.4
1503,6.0
1504,5.5
1505,5.1
1506,5.2
1507,6.1
1508,5.5
1509,5.2
151,5.4
